Acceleration(X),Acceleration(Y),Acceleration(Z),Gyroscope(X),Gyroscope(Y),Gyroscope(Z),Euler_Angles(Pitch),Euler_Angles(Roll),Euler_Angles(Yaw),Magnetometer(X),Magnetometer(Y),Magnetometer(Z)
0.003,-0.03,1.002,-0.743,-0.817,0.057,-0.91,-1.85,139.46,-30,-32,-9
0.001,-0.015,1.024,-0.863,-1.685,-0.016,-0.92,-1.85,139.46,-30,-33,-9
0.007,-0.004,1.022,-1.07,-3.177,0.28,-0.95,-1.85,139.46,-30,-33,-9
0.045,0.008,1.028,-1.863,-3.071,0.753,-0.98,-1.86,139.46,-30,-33,-9
0.038,-0.029,1.008,-3.656,-3.423,1.167,-1.03,-1.87,139.47,-30,-32,-8
0.03,-0.032,0.987,-5.064,0.309,1.105,-1.06,-1.92,139.48,-30,-33,-9
0.036,-0.053,0.962,-3.96,0.549,0.417,-1.05,-1.98,139.49,-30,-32,-8
0.032,-0.079,0.947,-3.353,0.286,1.839,-1.06,-2.02,139.5,-30,-32,-9
0.003,-0.066,0.956,-1.053,1.82,1.146,-1.04,-2.05,139.51,-30,-32,-9
-0.017,-0.031,0.991,1.802,1.709,0.032,-1.01,-2.04,139.52,-30,-32,-8
0.013,-0.032,1.003,1.471,-0.88,0.486,-0.99,-2.02,139.52,-30,-32,-9
0.043,-0.04,1.02,-0.181,-1.967,0.917,-1.01,-2.01,139.53,-30,-32,-8
0.048,-0.023,1.024,-0.404,-0.636,0.621,-1.03,-2.02,139.54,-30,-32,-9
0.05,-0.023,1.014,-0.315,-0.801,1.539,-1.06,-2.01,139.55,-30,-32,-8
0.048,-0.023,1.026,-0.794,-0.099,3.232,-1.07,-2.01,139.57,-30,-32,-9
0.038,-0.024,1.0,-1.742,-1.181,3.802,-1.1,-2.02,139.61,-30,-32,-9
-0.008,-0.021,1.028,-2.498,2.283,4.169,-1.09,-2.04,139.65,-30,-32,-8
-0.011,-0.014,1.006,-3.232,0.23,3.429,-1.06,-2.05,139.68,-30,-32,-9
-0.012,-0.048,0.986,-3.99,-1.345,3.787,-1.04,-2.1,139.72,-30,-32,-9
-0.022,-0.057,0.989,-4.027,-0.767,3.051,-1.03,-2.15,139.76,-30,-32,-9
0.001,-0.042,0.999,-3.272,-3.275,1.487,-1.03,-2.19,139.77,-30,-32,-8
0.019,-0.035,1.025,-3.281,-4.828,2.564,-1.07,-2.22,139.8,-30,-32,-8
0.038,-0.02,1.036,-2.658,-5.068,2.152,-1.13,-2.25,139.82,-30,-32,-8
0.011,-0.008,1.044,-4.078,-3.028,2.556,-1.16,-2.28,139.84,-30,-32,-9
0.006,-0.003,1.052,-6.958,-3.595,2.42,-1.19,-2.34,139.87,-30,-32,-8
0.022,-0.009,1.062,-8.729,-5.493,2.121,-1.24,-2.42,139.89,-31,-31,-8
0.011,-0.011,1.067,-10.317,-4.474,2.437,-1.29,-2.52,139.91,-31,-31,-8
0.014,-0.006,1.066,-11.951,-4.451,1.902,-1.33,-2.63,139.93,-31,-32,-8
0.023,-0.007,1.071,-14.421,-6.106,2.061,-1.39,-2.77,139.94,-31,-31,-8
0.014,-0.002,1.087,-16.941,-6.066,2.381,-1.45,-2.93,139.96,-31,-31,-8
0.016,0.002,1.111,-18.909,-5.9,1.768,-1.51,-3.11,139.98,-30,-32,-9
0.028,0.003,1.117,-21.82,-7.443,1.697,-1.57,-3.32,139.99,-30,-31,-8
0.036,0.009,1.125,-25.383,-6.699,1.876,-1.64,-3.56,140.0,-30,-31,-8
0.047,-0.002,1.121,-28.612,-6.148,1.277,-1.71,-3.83,140.01,-31,-31,-9
0.043,-0.016,1.107,-31.895,-4.079,1.557,-1.76,-4.14,140.01,-31,-31,-8
0.051,-0.026,1.082,-35.453,-4.023,1.648,-1.79,-4.48,140.02,-31,-30,-8
0.047,-0.048,1.064,-37.692,-2.66,1.641,-1.83,-4.85,140.02,-30,-30,-8
0.044,-0.06,1.033,-38.505,-0.938,1.404,-1.84,-5.23,140.02,-30,-30,-8
0.053,-0.081,0.992,-39.538,-0.571,1.433,-1.85,-5.62,140.03,-31,-30,-8
0.046,-0.118,0.944,-39.924,1.147,1.655,-1.85,-6.02,140.03,-31,-30,-8
0.025,-0.146,0.902,-38.799,3.737,0.834,-1.82,-6.42,140.03,-30,-30,-8
0.008,-0.179,0.849,-36.121,3.998,0.361,-1.78,-6.79,140.02,-31,-30,-8
-0.01,-0.211,0.822,-33.503,3.394,0.822,-1.74,-7.13,140.02,-30,-29,-8
-0.001,-0.212,0.809,-29.474,0.277,0.73,-1.73,-7.45,140.02,-30,-29,-8
0.01,-0.191,0.845,-23.552,-1.97,0.558,-1.74,-7.7,140.01,-31,-29,-8
0.02,-0.194,0.902,-19.766,-4.088,1.042,-1.77,-7.91,140.02,-31,-29,-8
0.048,-0.171,0.948,-18.524,-5.694,1.462,-1.82,-8.1,140.02,-31,-28,-8
0.083,-0.163,0.976,-16.403,-5.866,1.188,-1.9,-8.29,140.03,-31,-28,-8
0.085,-0.16,0.984,-14.563,-2.473,1.297,-1.98,-8.46,140.03,-31,-28,-8
0.069,-0.161,0.938,-13.951,1.441,1.189,-2.01,-8.6,140.03,-30,-28,-8
0.034,-0.198,0.881,-13.404,4.213,1.345,-1.98,-8.74,140.04,-31,-29,-8
0.008,-0.222,0.842,-12.036,5.686,0.927,-1.92,-8.87,140.05,-31,-28,-8
-0.01,-0.232,0.804,-8.354,4.802,0.611,-1.87,-8.97,140.05,-31,-28,-8
-0.037,-0.244,0.779,-2.834,4.151,0.662,-1.83,-9.02,140.06,-31,-28,-8
-0.01,-0.241,0.787,2.692,0.961,-0.194,-1.8,-9.01,140.06,-31,-28,-8
0.023,-0.244,0.828,7.183,-2.926,0.022,-1.82,-8.96,140.06,-30,-28,-8
0.034,-0.229,0.904,10.281,-4.056,0.578,-1.85,-8.87,140.06,-31,-28,-8
0.031,-0.169,0.979,13.356,-4.717,0.017,-1.9,-8.74,140.07,-31,-28,-8
0.031,-0.108,1.053,16.576,-4.921,-0.088,-1.94,-8.58,140.08,-31,-28,-8
0.035,-0.063,1.085,16.562,-4.83,-0.287,-1.99,-8.41,140.08,-30,-29,-8
0.04,-0.064,1.115,12.735,-2.465,-0.39,-2.03,-8.27,140.08,-31,-29,-8
0.053,-0.092,1.107,6.044,-1.536,-0.58,-2.05,-8.18,140.08,-31,-28,-8
0.05,-0.105,1.087,2.486,0.503,-0.956,-2.05,-8.15,140.07,-31,-28,-8
0.045,-0.108,1.054,2.594,1.524,-1.037,-2.04,-8.12,140.06,-31,-28,-8
0.024,-0.119,1.038,0.981,0.988,-0.088,-2.03,-8.1,140.06,-31,-29,-8
0.002,-0.116,1.047,-1.819,0.696,-0.027,-2.02,-8.11,140.06,-31,-29,-8
0.015,-0.098,1.068,-3.847,-2.999,-0.302,-2.03,-8.14,140.06,-31,-29,-8
0.039,-0.084,1.115,-5.444,-5.474,0.732,-2.08,-8.19,140.06,-31,-29,-8
0.07,-0.071,1.139,-7.296,-5.674,0.717,-2.14,-8.25,140.06,-31,-29,-8
0.065,-0.068,1.139,-11.166,-3.079,0.659,-2.18,-8.35,140.07,-30,-28,-8
0.062,-0.084,1.099,-16.418,0.011,0.598,-2.19,-8.49,140.07,-31,-29,-8
0.059,-0.121,1.044,-20.312,1.019,0.623,-2.18,-8.68,140.06,-31,-28,-8
0.04,-0.161,0.99,-22.19,3.035,0.95,-2.16,-8.9,140.07,-31,-28,-8
0.018,-0.18,0.947,-22.149,3.674,0.688,-2.12,-9.13,140.07,-31,-28,-8
0.016,-0.185,0.925,-21.117,2.314,0.587,-2.09,-9.35,140.06,-30,-28,-8
